Rank,TaxonName,Order,Family
zoosection,Crinocheta,Isopoda,NA
order,Odonata,Odonata,NA
species,Erythridula victorialis,Hemiptera,Cicadellidae
tribe,Ageniellini,Hymenoptera,Pompilidae
subfamily,Tomocerinae,Collembola,Tomoceridae
species,Paraulacizes irrorata,Hemiptera,Cicadellidae
infraorder,Cyclorrhapha,Diptera,NA
species,Norape ovina,Lepidoptera,Megalopygidae
species,Barypeithes pellucidus,Coleoptera,Curculionidae
species,Magdalis armicollis,Coleoptera,Curculionidae
genus,Micromus,Neuroptera,Hemerobiidae
species,Acanalonia servillei,Hemiptera,Acanaloniidae
species,Maevia inclemens,Araneae,Salticidae
genus,Eugnamptus,Coleoptera,Attelabidae
species,Polydrusus impressifrons,Coleoptera,Curculionidae
species,Vespula maculifrons,Hymenoptera,Vespidae
genus,Omolicna,Hemiptera,Derbidae
tribe,Nephesini,Hemiptera,Flatidae
species,Porcellio scaber,Isopoda,Porcellionidae
species,Philaenus spumarius,Hemiptera,Aphrophoridae
species,Melikaiella ostensackeni,Hymenoptera,Cynipidae
complex,Formica fusca,Hymenoptera,Formicidae
species,Microcentrus perditus,Hemiptera,Membracidae
genus,Scaphoideus,Hemiptera,Cicadellidae
tribe,Empoascini,Hemiptera,Cicadellidae
species,Callirhytis furva,Hymenoptera,Cynipidae
species,Micromus posticus,Neuroptera,Hemerobiidae
genus,Florinda,Araneae,Linyphiidae
species,Acalymma vittatum,Coleoptera,Chrysomelidae
genus,Clastoptera,Hemiptera,Clastopteridae
species,Lechriops oculata,Coleoptera,Curculionidae
species,Oecanthus fultoni,Orthoptera,Gryllidae
species,Pelecinobaccha costata,Diptera,Syrphidae
genus,Allograpta,Diptera,Syrphidae
species,Charidotella purpurata,Coleoptera,Chrysomelidae
subgenus,Empoa,Hemiptera,Cicadellidae
tribe,Scaphoideini,Hemiptera,Cicadellidae
tribe,Idiocerini,Hemiptera,Cicadellidae
species,Pandeleteius hilaris,Coleoptera,Curculionidae
species,Linyphia triangularis,Araneae,Linyphiidae
tribe,Bromiini,Coleoptera,Chrysomelidae
tribe,Scymnini,Coleoptera,Coccinellidae
genus,Cladius,Hymenoptera,Tenthredinidae
species,Omolicna uhleri,Hemiptera,Derbidae
genus,Microcentrus,Hemiptera,Membracidae
species,Stictocephala diceros,Hemiptera,Membracidae
species,Antheraea polyphemus,Lepidoptera,Saturniidae
genus,Phidippus,Araneae,Salticidae
species,Necydalis mellita,Coleoptera,Cerambycidae
genus,Clepsis,Lepidoptera,Tortricidae
family,Nemouridae,Plecoptera,Nemouridae
genus,Psyche,Lepidoptera,Psychidae
species,Armadillidium vulgare,Isopoda,Armadillidiidae
family,Platypezidae,Diptera,Platypezidae
species,Spintharus flavidus,Araneae,Theridiidae
species,Micrathena gracilis,Araneae,Araneidae
genus,Mangora,Araneae,Araneidae
genus,Philodromus,Araneae,Philodromidae
genus,Theridion,Araneae,Theridiidae
species,Araneus miniatus,Araneae,Araneidae
family,Mycetophilidae,Diptera,Mycetophilidae
tribe,Tingini,Hemiptera,Tingidae
family,Pseudococcidae,Hemiptera,Pseudococcidae
complex,Formica pallidefulva-group,Hymenoptera,Formicidae
genus,Cerotainia,Diptera,Asilidae
species,Leptoglossus fulvicornis,Hemiptera,Coreidae
species,Leptoglossus oppositus,Hemiptera,Coreidae
genus,Trachelas,Araneae,Corinnidae
species,Polydrusus cervinus,Coleoptera,Curculionidae
species,Chrysopilus modestus,Diptera,Rhagionidae
species,Chrysopilus quadratus,Diptera,Rhagionidae
species,Glischrochilus quadrisignatus,Coleoptera,Nitidulidae
tribe,Anthonomini,Coleoptera,Curculionidae
species,Hibana gracilis,Araneae,Anyphaenidae
species,Camponotus snellingi,Hymenoptera,Formicidae
genus,Mystacides,Trichoptera,Leptoceridae
species,Phidippus putnami,Araneae,Salticidae
species,Rhomphaea fictilium,Araneae,Theridiidae
genus,Leucochrysa,Neuroptera,Chrysopidae
tribe,Elampini,Hymenoptera,Chrysididae
species,Mecynogea lemniscata,Araneae,Araneidae
species,Mangora maculata,Araneae,Araneidae
genus,Neoscona,Araneae,Araneidae
subtribe,Dendryphantina,Araneae,Salticidae
species,Yunohamella lyrica,Araneae,Theridiidae
species,Rhagonycha fulva,Coleoptera,Cantharidae
species,Araneus marmoreus,Araneae,Araneidae
species,Herpyllus ecclesiasticus,Araneae,Gnaphosidae
species,Metepeira labyrinthea,Araneae,Araneidae
family,Pholcidae,Araneae,Pholcidae
species,Uloborus glomosus,Araneae,Uloboridae
genus,Admestina,Araneae,Salticidae
complex,Formica neogagates-group,Hymenoptera,Formicidae
species,Lasius americanus,Hymenoptera,Formicidae
genus,Andrena,Hymenoptera,Andrenidae
family,Anthomyiidae,Diptera,Anthomyiidae
species,Eudasyphora cyanicolor,Diptera,Muscidae
genus,Dolichoderus,Hymenoptera,Formicidae
genus,Ozodiceromyia,Diptera,Therevidae
genus,Tipula,Diptera,Tipulidae
genus,Rivellia,Diptera,Platystomatidae
genus,Craterocercus,Hymenoptera,Tenthredinidae
genus,Acordulecera,Hymenoptera,Pergidae
species,Lupettiana mordax,Araneae,Anyphaenidae
family,Chloropidae,Diptera,Chloropidae
genus,Arge,Hymenoptera,Argidae
species,Synolabus nigripes,Coleoptera,Attelabidae
species,Pterocolus ovatus,Coleoptera,Attelabidae
subtribe,Crabronina,Hymenoptera,Crabronidae
species,Synolabus bipustulatus,Coleoptera,Attelabidae
genus,Bandara,Hemiptera,Cicadellidae
genus,Macrocera,Diptera,Keroplatidae
species,Analeptura lineola,Coleoptera,Cerambycidae
species,Phigalia strigataria,Lepidoptera,Elachistidae
family,Panorpidae,Mecoptera,Panorpidae
species,Phigalia titea,Lepidoptera,Elachistidae
species,Pyromorpha dimidiata,Lepidoptera,Zygaenidae
family,Ichneumonidae,Hymenoptera,Ichneumonidae
species,Hedya nubiferana,Lepidoptera,Tortricidae
species,Chrysopa nigricornis,Neuroptera,Chrysopidae
genus,Magicicada,Hemiptera,Cicadidae
tribe,Ellescini,Coleoptera,Curculionidae
genus,Hyaliodes,Hemiptera,Miridae
species,Propylea quatuordecimpunctata,Coleoptera,Coccinellidae
family,Cynipidae,Hymenoptera,Cynipidae
tribe,Acanthocinini,Coleoptera,Cerambycidae
genus,Elaphria,Lepidoptera,Noctuidae
complex,Narceus americanus,Spirobolida,Spirobolidae
family,Attelabidae,Coleoptera,Attelabidae
genus,Orthosia,Lepidoptera,Noctuidae
subgenus,Dialictus,Hymenoptera,Halictidae
genus,Idiocerus,Hemiptera,Cicadellidae
species,Homalodisca vitripennis,Hemiptera,Cicadellidae
genus,Agapostemon,Hymenoptera,Halictidae
species,Leiobunum aldrichi,Opiliones,Leiobunidae
species,Castianeira longipalpa,Araneae,Clubionidae
species,Calopteryx maculata,Odonata,Calopterygidae
species,Choristoneura rosaceana,Lepidoptera,Tortricidae
genus,Orthimella,Lepidoptera,Noctuidae
species,Penthimia americana,Hemiptera,Cicadellidae
species,Homoeolabus analis,Coleoptera,Attelabidae
species,Aedes triseriatus,Diptera,Culicidae
species,Cyrtolobus tuberosus,Hemiptera,Membracidae
species,Agapostemon virescens,Hymenoptera,Halictidae
genus,Osbornellus,Hemiptera,Cicadellidae
species,Enoplognatha ovata,Araneae,Theridiidae
genus,Kleidocerys,Hemiptera,Lygaeidae
species,Stictocephala militaris,Hemiptera,Membracidae
species,Homidia socia,Entomobryomorpha,Entomobryidae
family,Anthribidae,Coleoptera,Anthribidae
species,Brachystylus sayi,Coleoptera,Curculionidae
species,Magicicada septendecim,Hemiptera,Cicadidae
genus,Gambrinus,Coleoptera,Elateridae
species,Mastogenius crenulatus,Coleoptera,Buprestidae
family,Halictidae,Hymenoptera,Halictidae
genus,Colobopsis,Hymenoptera,Formicidae
species,Ochyromera ligustri,Coleoptera,Curculionidae
complex,Lasioglossum pilosum,Hymenoptera,Halictidae
genus,Chrysopa,Neuroptera,Chrysopidae
genus,Lomographa,Lepidoptera,Geometridae
species,Acanalonia bivittata,Hemiptera,Acanaloniidae
tribe,Thioniini,Hemiptera,Issidae
species,Aphrastus taeniatus,Coleoptera,Curculionidae
genus,Macropsis,Hemiptera,Cicadellidae
species,Phaneroptera nana,Orthoptera,Tettigoniidae
family,Tiphiidae,Hymenoptera,Tiphiidae
species,Coelostathma discopunctana,Lepidoptera,Tortricidae
species,Stictocephala taurina,Hemiptera,Membracidae
genus,Tutelina,Araneae,Salticidae
species,Brachys ovatus,Coleoptera,Buprestidae
species,Olethreutes fasciatana,Lepidoptera,Tortricidae
family,Eupelmidae,Hymenoptera,Eupelmidae
tribe,Mirini,Hemiptera,Miridae
genus,Enoplognatha,Araneae,Theridiidae
species,Agrilus derasofasciatus,Coleoptera,Buprestidae
species,Orchesella celsa,Entomobryomorpha,Orchesellidae
family,Chyromyidae,Diptera,Chyromyidae
genus,Bassaniana,Araneae,Thomisidae
genus,Limonius,Coleoptera,Elateridae
